[Student ID], [Student Name], Asg 1, 10, Asg 2, 10, Quiz 1, 15, Quiz 2, 15, Project, 35, Lab, 15
20000001, Matthew, 93.33, 100.00, 100.00, 100.00, 100.00, 95.00
20000002, Sing, 86.67, 100.00, 100.00, 100.00, 100.00, 95.00
20000003, Kenneth, 78.67, 100.00, 100.00, 100.00, 100.00, 100.00
20000004, Weber, 69.33, 100.00, 100.00, 100.00, 100.00, 100.00
20000005, Charles, 64.00, 100.00, 100.00, 100.00, 100.00, 100.00
20000006, Fun, 85.33, 100.00, 95.00, 100.00, 100.00, 100.00
20000007, Tany, 78.67, 100.00, 95.00, 100.00, 100.00, 100.00
20000008, Aaron, 76.00, 100.00, 0.00, 100.00, 100.00, 100.00
20000009, Ellen, 69.33, 100.00, 100.00, 100.00, 100.00, 100.00
20000010, Bennalt, 62.67, 100.00, 95.00, 100.00, 100.00, 100.00
20000011, Andy, 62.67, 100.00, 100.00, 100.00, 0.00, 100.00
20000012, Samuel, 64.00, 100.00, 60.00, 60.00, 100.00, 100.00
20000013, Tammy, 0.00, 100.00, 95.00, 100.00, 100.00, 100.00
